상품주문번호,주문번호,결제일,주문상태,상품명,옵션정보,수량,상품가격,옵션가격,판매가,구매자명,배송지,결제수단
20260326-0000033,20260326-0000033,2026-03-26 17:15:06,발송준비,냐한 남자 2026 다이어리,색상/타입:데일리,1,19000,0,19000,구매자7061,충청남도,네이버페이
20260326-0000034,20260326-0000034,2026-03-26 16:37:23,배송완료,가비지타임 스티커팩,색상/타입:시즌2,1,6500,0,6500,구매자3577,인천광역시,신용카드
20260326-0000035,20260326-0000035,2026-03-26 10:57:59,배송완료,가비지타임 아크릴 스탠드,색상/타입:C타입,2,15000,0,30000,구매자6324,광주광역시,네이버페이
20260326-0000036,20260326-0000036,2026-03-26 22:33:10,배송완료,마루는 강쥐 포토카드 세트,색상/타입:2탄,1,9800,0,9800,구매자4397,광주광역시,계좌이체
20260326-0000037,20260326-0000037,2026-03-26 19:43:47,배송중,마루는 강쥐 봉제 인형,색상/타입:S,1,45000,0,45000,구매자1027,전라북도,네이버페이
20260326-0000038,20260326-0000038,2026-03-26 12:03:30,결제완료,마루는 강쥐 2026 다이어리,색상/타입:데일리,1,19000,0,19000,구매자3973,인천광역시,신용카드
20260326-0000039,20260326-0000039,2026-03-26 16:23:21,배송완료,마루는 강쥐 아크릴 스탠드,색상/타입:C타입,1,15000,0,15000,구매자7546,경기도,신용카드
20260326-0000040,20260326-0000040,2026-03-26 11:58:17,배송완료,냐한 남자 스티커팩,색상/타입:시즌2,1,6500,0,6500,구매자9973,대전광역시,신용카드
20260326-0000041,20260326-0000041,2026-03-26 20:37:18,배송중,마루는 강쥐 봉제 인형,색상/타입:M,1,45000,0,45000,구매자4435,경기도,네이버페이
20260326-0000042,20260326-0000042,2026-03-26 18:41:38,배송완료,냐한 남자 키링,색상/타입:옐로우,1,12000,0,12000,구매자9731,대구광역시,신용카드
20260326-0000043,20260326-0000043,2026-03-26 07:59:18,배송완료,마루는 강쥐 아크릴 스탠드,색상/타입:C타입,1,15000,0,15000,구매자3262,경기도,신용카드
20260326-0000044,20260326-0000044,2026-03-26 07:26:15,배송완료,가비지타임 파우치,색상/타입:핑크,1,22000,0,22000,구매자4814,인천광역시,신용카드
20260326-0000045,20260326-0000045,2026-03-26 17:19:07,발송준비,신의 탑 2026 다이어리,색상/타입:위클리,1,19000,0,19000,구매자2214,대전광역시,신용카드
20260326-0000046,20260326-0000046,2026-03-26 11:06:19,배송완료,마루는 강쥐 스티커팩,색상/타입:레어,1,6500,0,6500,구매자4820,대전광역시,신용카드
20260326-0000047,20260326-0000047,2026-03-26 12:03:13,배송완료,마루는 강쥐 2026 다이어리,색상/타입:데일리,1,19000,0,19000,구매자9755,광주광역시,네이버페이
20260326-0000048,20260326-0000048,2026-03-26 19:41:49,배송완료,외모지상주의 티셔츠,색상/타입:XL,1,32000,0,32000,구매자1572,광주광역시,신용카드
20260326-0000049,20260326-0000049,2026-03-26 18:34:55,배송완료,냐한 남자 티셔츠,색상/타입:XL,1,32000,0,32000,구매자1515,광주광역시,신용카드
20260326-0000050,20260326-0000050,2026-03-26 10:20:43,배송완료,냐한 남자 키링,색상/타입:핑크,1,12000,0,12000,구매자8550,광주광역시,네이버페이
20260326-0000051,20260326-0000051,2026-03-26 13:03:14,배송완료,냐한 남자 티셔츠,색상/타입:S,1,32000,0,32000,구매자6331,대전광역시,네이버페이
20260326-0000052,20260326-0000052,2026-03-26 10:02:58,배송완료,냐한 남자 키링,색상/타입:그린,3,12000,0,36000,구매자3521,충청남도,네이버페이
20260326-0000053,20260326-0000053,2026-03-26 09:16:59,배송완료,냐한 남자 머그컵,색상/타입:화이트,2,18000,0,36000,구매자6056,경상남도,네이버페이
20260326-0000054,20260326-0000054,2026-03-26 21:20:57,배송중,외모지상주의 티셔츠,색상/타입:XL,1,32000,0,32000,구매자2390,충청남도,네이버페이
20260326-0000055,20260326-0000055,2026-03-26 10:02:00,배송완료,가비지타임 머그컵,색상/타입:블랙,1,18000,0,18000,구매자6558,충청남도,신용카드
20260326-0000056,20260326-0000056,2026-03-26 00:53:24,발송준비,마루는 강쥐 봉제 인형,색상/타입:L,1,45000,0,45000,구매자3230,전라북도,신용카드
20260326-0000057,20260326-0000057,2026-03-26 16:41:37,배송중,마루는 강쥐 차량용 방향제,색상/타입:우드,1,14000,0,14000,구매자1855,대전광역시,네이버페이
20260326-0000058,20260326-0000058,2026-03-26 17:49:24,배송완료,마루는 강쥐 봉제 인형,색상/타입:S,1,45000,0,45000,구매자3997,충청남도,신용카드
20260326-0000059,20260326-0000059,2026-03-26 09:39:51,발송준비,가비지타임 스티커팩,색상/타입:기본,4,6500,0,26000,구매자7635,서울특별시,네이버페이
20260326-0000060,20260326-0000060,2026-03-26 11:53:24,발송준비,마루는 강쥐 아크릴 스탠드,색상/타입:A타입,1,15000,0,15000,구매자9646,전라북도,네이버페이
20260326-0000061,20260326-0000061,2026-03-26 09:30:10,결제완료,마루는 강쥐 키링,색상/타입:블루,1,13500,0,13500,구매자9978,부산광역시,신용카드
20260326-0000062,20260326-0000062,2026-03-26 16:49:28,결제완료,냐한 남자 봉제 인형,색상/타입:L,1,39000,0,39000,구매자3757,대전광역시,네이버페이
20260326-0000063,20260326-0000063,2026-03-26 22:55:51,배송완료,마루는 강쥐 차량용 방향제,색상/타입:화이트머스크,1,14000,0,14000,구매자6275,광주광역시,신용카드
20260326-0000064,20260326-0000064,2026-03-26 13:09:38,배송완료,마루는 강쥐 차량용 방향제,색상/타입:화이트머스크,3,14000,0,42000,구매자4409,충청남도,신용카드
20260326-0000065,20260326-0000065,2026-03-26 11:37:38,배송완료,마루는 강쥐 차량용 방향제,색상/타입:시트러스,2,14000,0,28000,구매자3519,광주광역시,신용카드
20260326-0000066,20260326-0000066,2026-03-26 15:22:57,배송완료,마루는 강쥐 파우치,색상/타입:핑크,1,22000,0,22000,구매자1850,대구광역시,신용카드
20260326-0000067,20260326-0000067,2026-03-26 12:49:33,배송완료,마루는 강쥐 키링,색상/타입:그린,1,13500,0,13500,구매자9714,서울특별시,네이버페이
20260326-0000068,20260326-0000068,2026-03-26 16:35:41,배송완료,신의 탑 머그컵,색상/타입:화이트,1,18000,0,18000,구매자8761,광주광역시,계좌이체
20260326-0000069,20260326-0000069,2026-03-26 06:37:41,취소,마루는 강쥐 파우치,색상/타입:베이지,1,22000,0,22000,구매자8665,경기도,신용카드
20260326-0000070,20260326-0000070,2026-03-26 11:00:31,배송완료,냐한 남자 티셔츠,색상/타입:L,2,32000,0,64000,구매자8585,대전광역시,네이버페이
20260326-0000071,20260326-0000071,2026-03-26 11:30:43,배송완료,가비지타임 아크릴 스탠드,색상/타입:B타입,1,15000,0,15000,구매자2226,경기도,네이버페이
20260326-0000072,20260326-0000072,2026-03-26 13:50:04,배송완료,가비지타임 차량용 방향제,색상/타입:시트러스,1,14000,0,14000,구매자2702,대구광역시,신용카드
20260326-0000073,20260326-0000073,2026-03-26 15:19:59,배송완료,마루는 강쥐 티셔츠,색상/타입:XL,2,32000,0,64000,구매자3375,서울특별시,신용카드
20260326-0000074,20260326-0000074,2026-03-26 18:05:56,배송완료,가비지타임 스티커팩,색상/타입:레어,1,6500,0,6500,구매자4556,서울특별시,신용카드
20260326-0000075,20260326-0000075,2026-03-26 20:30:45,배송완료,마루는 강쥐 키링,색상/타입:핑크,1,13500,0,13500,구매자3867,경기도,신용카드
20260326-0000076,20260326-0000076,2026-03-26 20:12:04,결제완료,마루는 강쥐 파우치,색상/타입:네이비,1,22000,0,22000,구매자7941,전라북도,신용카드
20260326-0000077,20260326-0000077,2026-03-26 21:23:55,배송완료,마루는 강쥐 파우치,색상/타입:베이지,2,22000,0,44000,구매자8424,서울특별시,네이버페이
20260326-0000078,20260326-0000078,2026-03-26 13:39:07,배송중,마루는 강쥐 2026 다이어리,색상/타입:위클리,3,19000,0,57000,구매자1325,서울특별시,계좌이체
20260326-0000079,20260326-0000079,2026-03-26 18:02:28,배송완료,외모지상주의 티셔츠,색상/타입:XL,1,32000,0,32000,구매자3514,광주광역시,신용카드
20260326-0000080,20260326-0000080,2026-03-26 11:56:40,배송중,가비지타임 스티커팩,색상/타입:시즌2,1,6500,0,6500,구매자4484,서울특별시,신용카드
20260326-0000081,20260326-0000081,2026-03-26 21:04:13,배송완료,가비지타임 차량용 방향제,색상/타입:화이트머스크,1,14000,0,14000,구매자1323,부산광역시,신용카드
20260326-0000082,20260326-0000082,2026-03-26 17:25:26,배송완료,냐한 남자 2026 다이어리,색상/타입:데일리,5,19000,0,95000,구매자9636,충청남도,네이버페이
20260326-0000083,20260326-0000083,2026-03-26 17:13:19,결제완료,냐한 남자 봉제 인형,색상/타입:S,1,39000,0,39000,구매자5108,충청남도,네이버페이
20260327-0000084,20260327-0000084,2026-03-27 15:01:22,배송완료,마루는 강쥐 아크릴 스탠드,색상/타입:C타입,1,15000,0,15000,구매자2326,경기도,네이버페이
20260327-0000085,20260327-0000085,2026-03-27 09:52:12,배송중,외모지상주의 키링,색상/타입:그린,4,12000,0,48000,구매자4043,서울특별시,계좌이체
20260327-0000086,20260327-0000086,2026-03-27 15:35:36,발송준비,외모지상주의 2026 다이어리,색상/타입:데일리,1,19000,0,19000,구매자3752,부산광역시,신용카드
20260327-0000087,20260327-0000087,2026-03-27 16:59:12,취소,신의 탑 스티커팩,색상/타입:기본,1,6500,0,6500,구매자9613,부산광역시,계좌이체
20260327-0000088,20260327-0000088,2026-03-27 15:23:38,발송준비,마루는 강쥐 차량용 방향제,색상/타입:화이트머스크,3,14000,0,42000,구매자9340,경기도,네이버페이
20260327-0000089,20260327-0000089,2026-03-27 00:08:37,결제완료,가비지타임 2026 다이어리,색상/타입:데일리,1,19000,0,19000,구매자8248,대구광역시,신용카드
20260327-0000090,20260327-0000090,2026-03-27 21:17:06,배송완료,가비지타임 2026 다이어리,색상/타입:데일리,2,19000,0,38000,구매자9833,인천광역시,신용카드
20260327-0000091,20260327-0000091,2026-03-27 14:54:45,배송완료,외모지상주의 봉제 인형,색상/타입:M,3,39000,0,117000,구매자3409,부산광역시,네이버페이
20260327-0000092,20260327-0000092,2026-03-27 13:52:25,배송완료,가비지타임 아크릴 스탠드,색상/타입:B타입,1,15000,0,15000,구매자5515,충청남도,신용카드
20260327-0000093,20260327-0000093,2026-03-27 11:09:01,배송완료,냐한 남자 봉제 인형,색상/타입:M,1,39000,0,39000,구매자8493,경상남도,네이버페이
20260327-0000094,20260327-0000094,2026-03-27 08:38:48,배송완료,가비지타임 파우치,색상/타입:네이비,1,22000,0,22000,구매자8927,충청남도,네이버페이
20260327-0000095,20260327-0000095,2026-03-27 21:49:58,결제완료,가비지타임 머그컵,색상/타입:화이트,1,18000,0,18000,구매자9069,인천광역시,신용카드
20260327-0000096,20260327-0000096,2026-03-27 16:12:25,배송완료,마루는 강쥐 키링,색상/타입:블루,1,13500,0,13500,구매자2396,부산광역시,신용카드
20260327-0000097,20260327-0000097,2026-03-27 08:35:25,배송중,가비지타임 2026 다이어리,색상/타입:위클리,3,19000,0,57000,구매자5322,서울특별시,신용카드
20260327-0000098,20260327-0000098,2026-03-27 12:09:00,배송완료,마루는 강쥐 포토카드 세트,색상/타입:2탄,1,9800,0,9800,구매자1382,경상남도,네이버페이
20260327-0000099,20260327-0000099,2026-03-27 19:13:21,배송완료,가비지타임 아크릴 스탠드,색상/타입:A타입,1,15000,0,15000,구매자6658,경기도,신용카드
20260327-0000100,20260327-0000100,2026-03-27 19:34:53,배송완료,마루는 강쥐 파우치,색상/타입:네이비,1,22000,0,22000,구매자3452,서울특별시,신용카드
20260327-0000101,20260327-0000101,2026-03-27 12:57:31,배송완료,마루는 강쥐 파우치,색상/타입:베이지,1,22000,0,22000,구매자7066,인천광역시,네이버페이
20260327-0000102,20260327-0000102,2026-03-27 09:17:56,결제완료,신의 탑 2026 다이어리,색상/타입:위클리,2,19000,0,38000,구매자5193,부산광역시,네이버페이
20260327-0000103,20260327-0000103,2026-03-27 16:04:34,배송완료,마루는 강쥐 봉제 인형,색상/타입:M,1,45000,0,45000,구매자5237,경상남도,계좌이체
20260327-0000104,20260327-0000104,2026-03-27 21:59:26,배송완료,마루는 강쥐 2026 다이어리,색상/타입:데일리,1,19000,0,19000,구매자5265,인천광역시,네이버페이
20260327-0000105,20260327-0000105,2026-03-27 09:09:04,배송완료,마루는 강쥐 2026 다이어리,색상/타입:데일리,1,19000,0,19000,구매자5802,충청남도,계좌이체
20260327-0000106,20260327-0000106,2026-03-27 08:36:15,배송완료,냐한 남자 스티커팩,색상/타입:시즌2,1,6500,0,6500,구매자7721,전라북도,신용카드
20260327-0000107,20260327-0000107,2026-03-27 12:02:25,배송중,마루는 강쥐 키링,색상/타입:블루,1,13500,0,13500,구매자6134,경기도,네이버페이
20260327-0000108,20260327-0000108,2026-03-27 18:22:14,배송완료,마루는 강쥐 아크릴 스탠드,색상/타입:A타입,1,15000,0,15000,구매자2414,대구광역시,계좌이체
20260327-0000109,20260327-0000109,2026-03-27 16:18:42,배송완료,냐한 남자 봉제 인형,색상/타입:M,1,39000,0,39000,구매자7295,충청남도,네이버페이
20260327-0000110,20260327-0000110,2026-03-27 18:39:01,배송완료,가비지타임 2026 다이어리,색상/타입:위클리,2,19000,0,38000,구매자4981,충청남도,계좌이체
20260327-0000111,20260327-0000111,2026-03-27 20:38:58,취소,마루는 강쥐 2026 다이어리,색상/타입:위클리,1,19000,0,19000,구매자7107,서울특별시,신용카드
20260327-0000112,20260327-0000112,2026-03-27 18:24:59,배송완료,신의 탑 스티커팩,색상/타입:레어,1,6500,0,6500,구매자8518,부산광역시,네이버페이
20260327-0000113,20260327-0000113,2026-03-27 15:43:25,배송완료,외모지상주의 2026 다이어리,색상/타입:데일리,2,19000,0,38000,구매자7179,서울특별시,네이버페이
20260327-0000114,20260327-0000114,2026-03-27 09:00:10,배송완료,가비지타임 차량용 방향제,색상/타입:화이트머스크,1,14000,0,14000,구매자4007,대전광역시,네이버페이
20260327-0000115,20260327-0000115,2026-03-27 13:32:52,배송완료,신의 탑 2026 다이어리,색상/타입:위클리,1,19000,0,19000,구매자6750,부산광역시,네이버페이
20260327-0000116,20260327-0000116,2026-03-27 20:17:09,배송완료,가비지타임 봉제 인형,색상/타입:L,1,39000,0,39000,구매자8537,인천광역시,신용카드
20260327-0000117,20260327-0000117,2026-03-27 18:43:27,발송준비,가비지타임 차량용 방향제,색상/타입:우드,1,14000,0,14000,구매자1091,대구광역시,네이버페이
20260327-0000118,20260327-0000118,2026-03-27 16:43:34,배송완료,가비지타임 포토카드 세트,색상/타입:1탄,1,9800,0,9800,구매자1130,인천광역시,신용카드
20260327-0000119,20260327-0000119,2026-03-27 20:48:16,배송완료,가비지타임 머그컵,색상/타입:블랙,1,18000,0,18000,구매자6943,경상남도,신용카드
20260327-0000120,20260327-0000120,2026-03-27 14:17:12,배송중,마루는 강쥐 스티커팩,색상/타입:레어,2,6500,0,13000,구매자4864,충청남도,네이버페이
20260327-0000121,20260327-0000121,2026-03-27 09:39:27,배송완료,마루는 강쥐 포토카드 세트,색상/타입:1탄,1,9800,0,9800,구매자7801,대구광역시,신용카드
20260327-0000122,20260327-0000122,2026-03-27 09:11:24,배송완료,냐한 남자 봉제 인형,색상/타입:M,1,39000,0,39000,구매자5792,부산광역시,네이버페이
20260327-0000123,20260327-0000123,2026-03-27 08:33:32,배송완료,외모지상주의 스티커팩,색상/타입:시즌2,2,6500,0,13000,구매자3936,인천광역시,계좌이체
20260327-0000124,20260327-0000124,2026-03-27 11:21:44,배송중,마루는 강쥐 포토카드 세트,색상/타입:3탄,2,9800,0,19600,구매자5110,광주광역시,네이버페이
20260327-0000125,20260327-0000125,2026-03-27 11:04:49,배송완료,냐한 남자 티셔츠,색상/타입:XL,1,32000,0,32000,구매자3199,전라북도,신용카드
20260327-0000126,20260327-0000126,2026-03-27 19:48:31,결제완료,냐한 남자 머그컵,색상/타입:화이트,2,18000,0,36000,구매자2839,충청남도,신용카드
20260327-0000127,20260327-0000127,2026-03-27 11:55:49,배송완료,냐한 남자 티셔츠,색상/타입:S,1,32000,0,32000,구매자3866,대전광역시,신용카드
20260327-0000128,20260327-0000128,2026-03-27 21:59:18,배송완료,가비지타임 스티커팩,색상/타입:시즌2,1,6500,0,6500,구매자3252,대전광역시,계좌이체
20260327-0000129,20260327-0000129,2026-03-27 14:16:44,배송중,가비지타임 차량용 방향제,색상/타입:시트러스,1,14000,0,14000,구매자1456,경기도,네이버페이
20260327-0000130,20260327-0000130,2026-03-27 17:22:55,취소,냐한 남자 티셔츠,색상/타입:XL,1,32000,0,32000,구매자2325,서울특별시,네이버페이
20260327-0000131,20260327-0000131,2026-03-27 10:58:24,배송중,가비지타임 키링,색상/타입:핑크,3,12000,0,36000,구매자6391,인천광역시,신용카드
20260327-0000132,20260327-0000132,2026-03-27 12:30:10,배송완료,가비지타임 봉제 인형,색상/타입:S,1,39000,0,39000,구매자5226,전라북도,신용카드
20260327-0000133,20260327-0000133,2026-03-27 13:36:14,배송완료,냐한 남자 티셔츠,색상/타입:XL,2,32000,0,64000,구매자7350,전라북도,신용카드
20260327-0000134,20260327-0000134,2026-03-27 19:40:14,배송완료,가비지타임 포토카드 세트,색상/타입:2탄,1,9800,0,9800,구매자2941,충청남도,신용카드
20260327-0000135,20260327-0000135,2026-03-27 11:28:42,취소,마루는 강쥐 2026 다이어리,색상/타입:데일리,1,19000,0,19000,구매자6885,대전광역시,네이버페이
20260327-0000136,20260327-0000136,2026-03-27 17:15:24,결제완료,마루는 강쥐 스티커팩,색상/타입:시즌2,1,6500,0,6500,구매자5964,대전광역시,신용카드
20260327-0000137,20260327-0000137,2026-03-27 09:57:54,배송완료,냐한 남자 아크릴 스탠드,색상/타입:A타입,1,15000,0,15000,구매자5089,부산광역시,네이버페이
20260327-0000138,20260327-0000138,2026-03-27 10:05:51,취소,마루는 강쥐 차량용 방향제,색상/타입:우드,1,14000,0,14000,구매자9815,서울특별시,네이버페이
20260327-0000139,20260327-0000139,2026-03-27 12:59:55,배송중,신의 탑 포토카드 세트,색상/타입:2탄,2,9800,0,19600,구매자1160,인천광역시,신용카드
20260327-0000140,20260327-0000140,2026-03-27 18:54:22,배송완료,외모지상주의 티셔츠,색상/타입:L,2,32000,0,64000,구매자8868,경상남도,계좌이체
20260327-0000141,20260327-0000141,2026-03-27 11:15:44,배송완료,신의 탑 2026 다이어리,색상/타입:데일리,3,19000,0,57000,구매자1601,경기도,신용카드
20260327-0000142,20260327-0000142,2026-03-27 19:53:08,배송완료,냐한 남자 아크릴 스탠드,색상/타입:A타입,1,15000,0,15000,구매자3401,광주광역시,네이버페이
20260327-0000143,20260327-0000143,2026-03-27 10:24:03,배송완료,마루는 강쥐 티셔츠,색상/타입:M,1,32000,0,32000,구매자9034,경기도,네이버페이
20260327-0000144,20260327-0000144,2026-03-27 18:08:11,배송완료,신의 탑 키링,색상/타입:옐로우,1,12000,0,12000,구매자2558,광주광역시,휴대폰
20260327-0000145,20260327-0000145,2026-03-27 14:17:45,배송중,마루는 강쥐 키링,색상/타입:핑크,2,13500,0,27000,구매자1086,경상남도,신용카드
20260327-0000146,20260327-0000146,2026-03-27 23:41:04,배송완료,가비지타임 키링,색상/타입:퍼플,3,12000,0,36000,구매자4940,경상남도,네이버페이
20260327-0000147,20260327-0000147,2026-03-27 20:17:39,배송중,신의 탑 2026 다이어리,색상/타입:위클리,4,19000,0,76000,구매자7613,서울특별시,네이버페이
20260327-0000148,20260327-0000148,2026-03-27 10:35:15,배송완료,신의 탑 포토카드 세트,색상/타입:1탄,1,9800,0,9800,구매자6113,대전광역시,신용카드
20260327-0000149,20260327-0000149,2026-03-27 08:51:11,배송완료,마루는 강쥐 티셔츠,색상/타입:M,5,32000,0,160000,구매자8038,경상남도,신용카드
20260327-0000150,20260327-0000150,2026-03-27 19:56:51,배송완료,신의 탑 2026 다이어리,색상/타입:데일리,1,19000,0,19000,구매자9575,서울특별시,신용카드
20260327-0000151,20260327-0000151,2026-03-27 11:03:51,배송완료,냐한 남자 머그컵,색상/타입:블랙,1,18000,0,18000,구매자6793,경상남도,네이버페이
20260327-0000152,20260327-0000152,2026-03-27 01:10:13,배송완료,신의 탑 머그컵,색상/타입:화이트,5,18000,0,90000,구매자3197,경기도,네이버페이
20260327-0000153,20260327-0000153,2026-03-27 16:21:05,배송완료,냐한 남자 머그컵,색상/타입:블랙,1,18000,0,18000,구매자7430,대구광역시,네이버페이
20260327-0000154,20260327-0000154,2026-03-27 15:16:59,결제완료,외모지상주의 포토카드 세트,색상/타입:1탄,1,9800,0,9800,구매자8258,경기도,네이버페이
20260327-0000155,20260327-0000155,2026-03-27 19:15:30,배송중,냐한 남자 스티커팩,색상/타입:기본,1,6500,0,6500,구매자8550,인천광역시,네이버페이
20260327-0000156,20260327-0000156,2026-03-27 15:17:53,배송완료,냐한 남자 봉제 인형,색상/타입:S,1,39000,0,39000,구매자5829,대구광역시,신용카드
20260327-0000157,20260327-0000157,2026-03-27 18:51:12,배송중,가비지타임 키링,색상/타입:블루,2,12000,0,24000,구매자6229,부산광역시,계좌이체
20260327-0000158,20260327-0000158,2026-03-27 09:30:51,배송완료,마루는 강쥐 티셔츠,색상/타입:S,1,32000,0,32000,구매자3282,부산광역시,신용카드
20260327-0000159,20260327-0000159,2026-03-27 20:07:03,배송중,마루는 강쥐 차량용 방향제,색상/타입:우드,2,14000,0,28000,구매자1385,충청남도,휴대폰
20260327-0000160,20260327-0000160,2026-03-27 20:24:28,배송완료,냐한 남자 키링,색상/타입:옐로우,1,12000,0,12000,구매자5335,전라북도,신용카드
20260327-0000161,20260327-0000161,2026-03-27 14:16:51,배송완료,마루는 강쥐 스티커팩,색상/타입:레어,1,6500,0,6500,구매자5700,경상남도,네이버페이
20260327-0000162,20260327-0000162,2026-03-27 12:55:34,배송중,가비지타임 봉제 인형,색상/타입:L,1,39000,0,39000,구매자7375,대구광역시,신용카드
20260327-0000163,20260327-0000163,2026-03-27 17:42:42,배송완료,냐한 남자 2026 다이어리,색상/타입:위클리,1,19000,0,19000,구매자5560,서울특별시,계좌이체
20260327-0000164,20260327-0000164,2026-03-27 13:32:06,배송완료,냐한 남자 키링,색상/타입:그린,4,12000,0,48000,구매자4721,경기도,네이버페이
