주문번호,주문일,주문시간,채널,카테고리,SKU,상품명,수량,단가,금액,배송지역,주문상태
DP-260526-0005,2026-05-26,10:39,오프라인-백화점,아트에디션,AE03,김환기 〈무제〉 점화 에디션 (소),1,490000,490000,서울,배송완료
DR-260526-0005,2026-05-26,10:40,오프라인-직영,리빙-공예,LC03,황동 트레이,3,175000,525000,경기,배송완료
DR-260526-0005,2026-05-26,10:40,오프라인-직영,리빙-글라스,LG03,버블 텀블러,1,68000,68000,경기,배송완료
PB-260526-0019,2026-05-26,10:44,자사몰,리빙-문구,LP06,책갈피 세트,2,10800,21600,인천,배송완료
MS-260526-0007,2026-05-26,10:55,무신사,리빙-글라스,LG02,버블 와인버킷,1,213400,213400,서울,배송완료
SG-260526-0005,2026-05-26,11:12,신세계몰,아트에디션,AE01,김창열 〈물방울〉 판화 에디션 (소),1,372400,372400,부산,배송완료
SG-260526-0005,2026-05-26,11:12,신세계몰,리빙-도자,LD06,도자 컵받침 세트,1,31400,31400,부산,배송완료
PB-260526-0014,2026-05-26,11:14,자사몰,리빙-문구,LP02,아트 포스터 (소),1,28000,28000,서울,배송완료
DR-260526-0003,2026-05-26,11:53,오프라인-직영,리빙-문구,LP07,아트 마그넷,2,8000,16000,대전,배송완료
DR-260526-0003,2026-05-26,11:53,오프라인-직영,리빙-공예,LC03,황동 트레이,1,175000,175000,대전,배송완료
DP-260526-0009,2026-05-26,11:57,오프라인-백화점,리빙-텍스타일,LT04,코튼 에코백,1,40000,40000,경기,배송완료
DP-260526-0009,2026-05-26,11:57,오프라인-백화점,리빙-글라스,LG03,버블 텀블러,1,72000,72000,경기,배송완료
PB-260526-0017,2026-05-26,12:12,자사몰,리빙-글라스,LG04,버블 보울,2,85000,170000,서울,배송완료
PB-260526-0007,2026-05-26,12:28,자사몰,리빙-문구,LP06,책갈피 세트,5,10800,54000,서울,배송완료
PB-260526-0007,2026-05-26,12:28,자사몰,리빙-글라스,LG04,버블 보울,1,85000,85000,서울,배송완료
PB-260526-0015,2026-05-26,12:39,자사몰,리빙-도자,LD04,도자 접시 세트,3,165000,495000,경기,배송완료
MS-260526-0009,2026-05-26,13:26,무신사,리빙-문구,LP01,한지 엽서,2,6800,13600,부산,배송완료
PB-260526-0006,2026-05-26,13:44,자사몰,아트에디션,AE04,김환기 〈무제〉 점화 에디션 (대),1,1800000,1800000,경기,배송완료
SG-260526-0002,2026-05-26,14:54,신세계몰,리빙-도자,LD03,도자 화병,1,142100,142100,서울,배송완료
SG-260526-0006,2026-05-26,14:58,신세계몰,리빙-텍스타일,LT05,린넨 앞치마,1,56800,56800,인천,배송완료
SG-260526-0006,2026-05-26,14:58,신세계몰,리빙-도자,LD06,도자 컵받침 세트,1,31400,31400,인천,배송완료
PB-260526-0003,2026-05-26,15:06,자사몰,리빙-도자,LD04,도자 접시 세트,1,165000,165000,경기,배송완료
MS-260526-0008,2026-05-26,15:38,무신사,리빙-문구,LP07,아트 마그넷,1,7800,7800,서울,반품완료
MS-260526-0008,2026-05-26,15:38,무신사,리빙-문구,LP03,아트 노트,5,14600,73000,서울,반품완료
PB-260526-0018,2026-05-26,15:46,자사몰,리빙-문구,LP06,책갈피 세트,1,10800,10800,경기,배송완료
DP-260526-0008,2026-05-26,15:49,오프라인-백화점,리빙-텍스타일,LT02,패턴 머플러,1,99000,99000,서울,배송완료
MS-260526-0001,2026-05-26,15:53,무신사,리빙-공예,LC03,황동 트레이,1,169800,169800,서울,배송완료
SG-260526-0007,2026-05-26,16:42,신세계몰,리빙-문구,LP03,아트 노트,3,14700,44100,경남,배송완료
PB-260526-0001,2026-05-26,17:38,자사몰,리빙-도자,LD01,산딸기 티웨어 세트,2,370000,740000,서울,배송완료
MS-260526-0003,2026-05-26,17:56,무신사,리빙-문구,LP04,마스킹테이프,4,8700,34800,서울,배송완료
PB-260526-0020,2026-05-26,18:29,자사몰,리빙-문구,LP03,아트 노트,1,13500,13500,광주,배송완료
SG-260526-0004,2026-05-26,18:38,신세계몰,리빙-텍스타일,LT04,코튼 에코백,2,37200,74400,대구,배송완료
DR-260526-0002,2026-05-26,18:43,오프라인-직영,리빙-텍스타일,LT04,코튼 에코백,1,38000,38000,경남,배송완료
DP-260526-0002,2026-05-26,19:11,오프라인-백화점,리빙-텍스타일,LT02,패턴 머플러,1,99000,99000,서울,배송완료
MS-260526-0002,2026-05-26,19:11,무신사,리빙-글라스,LG03,버블 텀블러,1,66000,66000,서울,배송중
MS-260526-0002,2026-05-26,19:11,무신사,리빙-도자,LD01,산딸기 티웨어 세트,2,358900,717800,서울,배송중
DP-260526-0003,2026-05-26,19:20,오프라인-백화점,리빙-글라스,LG02,버블 와인버킷,1,230000,230000,대구,배송완료
PB-260526-0016,2026-05-26,19:20,자사몰,리빙-공예,LC04,옻칠 함,1,240000,240000,울산,배송완료
DP-260526-0004,2026-05-26,19:21,오프라인-백화점,아트에디션,AE05,쿠사마 야요이 〈호박〉 실크스크린 (S),1,720000,720000,서울,배송중
SG-260526-0001,2026-05-26,20:09,신세계몰,리빙-글라스,LG03,버블 텀블러,1,66600,66600,서울,배송완료
PB-260526-0011,2026-05-26,21:00,자사몰,리빙-도자,LD02,산딸기 머그,3,89000,267000,경기,교환완료
PB-260526-0005,2026-05-26,21:01,자사몰,리빙-공예,LC01,유기 수저 세트,1,198000,198000,경남,배송완료
DP-260526-0006,2026-05-26,21:40,오프라인-백화점,아트에디션,AE01,김창열 〈물방울〉 판화 에디션 (소),1,420000,420000,서울,배송완료
DR-260526-0001,2026-05-26,21:50,오프라인-직영,리빙-도자,LD03,도자 화병,2,145000,290000,서울,배송완료
DR-260526-0001,2026-05-26,21:50,오프라인-직영,리빙-공예,LC02,유기 반상기 세트,2,520000,1040000,서울,배송완료
MS-260526-0004,2026-05-26,22:42,무신사,리빙-문구,LP01,한지 엽서,2,6800,13600,기타,교환완료
DR-260526-0006,2026-05-26,23:54,오프라인-직영,리빙-글라스,LG03,버블 텀블러,1,68000,68000,경남,반품완료
MS-260527-0008,2026-05-27,02:42,무신사,리빙-글라스,LG03,버블 텀블러,1,66000,66000,울산,반품완료
PB-260527-0011,2026-05-27,05:25,자사몰,리빙-도자,LD05,백자 다기 세트,1,280000,280000,서울,배송완료
PB-260527-0003,2026-05-27,06:35,자사몰,리빙-문구,LP03,아트 노트,1,13500,13500,서울,배송중
SG-260527-0003,2026-05-27,06:45,신세계몰,아트에디션,AE01,김창열 〈물방울〉 판화 에디션 (소),1,372400,372400,서울,배송완료
SG-260527-0003,2026-05-27,06:45,신세계몰,리빙-공예,LC04,옻칠 함,2,235200,470400,서울,배송완료
SG-260527-0011,2026-05-27,07:11,신세계몰,리빙-공예,LC03,황동 트레이,1,171500,171500,경기,배송완료
PB-260527-0002,2026-05-27,07:33,자사몰,리빙-문구,LP02,아트 포스터 (소),1,28000,28000,경남,배송완료
SG-260527-0007,2026-05-27,07:37,신세계몰,리빙-문구,LP02,아트 포스터 (소),2,27400,54800,경남,배송완료
SG-260527-0007,2026-05-27,07:37,신세계몰,리빙-도자,LD02,산딸기 머그,1,87200,87200,경남,배송완료
MS-260527-0002,2026-05-27,08:11,무신사,리빙-글라스,LG03,버블 텀블러,1,66000,66000,기타,배송완료
DR-260527-0004,2026-05-27,08:15,오프라인-직영,리빙-도자,LD05,백자 다기 세트,1,280000,280000,경기,배송완료
SG-260527-0009,2026-05-27,08:19,신세계몰,아트에디션,AE03,김환기 〈무제〉 점화 에디션 (소),1,441000,441000,부산,배송완료
SG-260527-0009,2026-05-27,08:19,신세계몰,리빙-텍스타일,LT01,Work1969 실크 스카프,2,421400,842800,부산,배송완료
DP-260527-0001,2026-05-27,08:26,오프라인-백화점,리빙-공예,LC01,유기 수저 세트,1,208000,208000,경기,배송완료
SG-260527-0004,2026-05-27,09:19,신세계몰,리빙-글라스,LG04,버블 보울,1,83300,83300,경기,배송완료
SG-260527-0004,2026-05-27,09:19,신세계몰,리빙-공예,LC02,유기 반상기 세트,1,509600,509600,경기,배송완료
DR-260527-0005,2026-05-27,09:59,오프라인-직영,리빙-공예,LC01,유기 수저 세트,2,198000,396000,서울,배송완료
DR-260527-0005,2026-05-27,09:59,오프라인-직영,리빙-글라스,LG01,세라믹 버블글라스,1,93000,93000,서울,배송완료
PB-260527-0014,2026-05-27,10:38,자사몰,리빙-글라스,LG02,버블 와인버킷,2,220000,440000,서울,배송완료
PB-260527-0014,2026-05-27,10:38,자사몰,리빙-도자,LD04,도자 접시 세트,1,165000,165000,서울,배송완료
DR-260527-0002,2026-05-27,10:52,오프라인-직영,리빙-글라스,LG01,세라믹 버블글라스,2,93000,186000,광주,배송완료
DR-260527-0002,2026-05-27,10:52,오프라인-직영,리빙-문구,LP01,한지 엽서,3,7000,21000,광주,배송완료
DR-260527-0002,2026-05-27,10:52,오프라인-직영,리빙-문구,LP06,책갈피 세트,4,12000,48000,광주,배송완료
MS-260527-0005,2026-05-27,11:15,무신사,리빙-공예,LC04,옻칠 함,1,232800,232800,대전,배송완료
SG-260527-0013,2026-05-27,11:19,신세계몰,리빙-문구,LP03,아트 노트,4,14700,58800,기타,배송완료
PB-260527-0017,2026-05-27,11:20,자사몰,리빙-공예,LC02,유기 반상기 세트,1,520000,520000,경기,배송완료
PB-260527-0009,2026-05-27,11:34,자사몰,아트에디션,AE01,김창열 〈물방울〉 판화 에디션 (소),1,380000,380000,경남,반품완료
PB-260527-0001,2026-05-27,11:44,자사몰,리빙-문구,LP05,아트 엽서세트,1,18000,18000,경기,배송완료
PB-260527-0004,2026-05-27,11:46,자사몰,리빙-텍스타일,LT05,린넨 앞치마,2,58000,116000,경기,배송완료
PB-260527-0004,2026-05-27,11:46,자사몰,리빙-글라스,LG04,버블 보울,1,85000,85000,경기,배송완료
MS-260527-0004,2026-05-27,11:52,무신사,리빙-문구,LP05,아트 엽서세트,2,17500,35000,울산,배송완료
DP-260527-0004,2026-05-27,12:10,오프라인-백화점,리빙-도자,LD01,산딸기 티웨어 세트,1,390000,390000,서울,배송중
PB-260527-0005,2026-05-27,12:40,자사몰,리빙-문구,LP03,아트 노트,4,13500,54000,울산,배송완료
SG-260527-0014,2026-05-27,12:52,신세계몰,리빙-글라스,LG01,세라믹 버블글라스,1,91100,91100,경기,배송완료
DR-260527-0003,2026-05-27,13:13,오프라인-직영,리빙-글라스,LG01,세라믹 버블글라스,1,93000,93000,대구,교환완료
DR-260527-0003,2026-05-27,13:13,오프라인-직영,리빙-도자,LD03,도자 화병,1,145000,145000,대구,교환완료
SG-260527-0002,2026-05-27,14:00,신세계몰,리빙-글라스,LG04,버블 보울,1,83300,83300,서울,교환완료
PB-260527-0013,2026-05-27,14:42,자사몰,리빙-문구,LP06,책갈피 세트,1,10800,10800,경기,배송완료
PB-260527-0013,2026-05-27,14:42,자사몰,아트에디션,AE05,쿠사마 야요이 〈호박〉 실크스크린 (S),1,680000,680000,경기,배송완료
DP-260527-0006,2026-05-27,14:59,오프라인-백화점,리빙-공예,LC02,유기 반상기 세트,2,540000,1080000,기타,배송완료
DP-260527-0006,2026-05-27,14:59,오프라인-백화점,리빙-도자,LD06,도자 컵받침 세트,1,34000,34000,기타,배송완료
SG-260527-0006,2026-05-27,15:08,신세계몰,리빙-도자,LD01,산딸기 티웨어 세트,1,362600,362600,울산,교환완료
SG-260527-0006,2026-05-27,15:08,신세계몰,리빙-문구,LP04,마스킹테이프,1,8800,8800,울산,교환완료
DP-260527-0002,2026-05-27,15:13,오프라인-백화점,리빙-공예,LC02,유기 반상기 세트,1,540000,540000,기타,배송완료
DP-260527-0002,2026-05-27,15:13,오프라인-백화점,리빙-문구,LP01,한지 엽서,4,7000,28000,기타,배송완료
PB-260527-0010,2026-05-27,15:14,자사몰,아트에디션,AE06,쿠사마 야요이 〈호박〉 실크스크린 (L),1,2400000,2400000,대구,배송완료
PB-260527-0016,2026-05-27,16:03,자사몰,리빙-텍스타일,LT02,패턴 머플러,2,95000,190000,부산,배송완료
SG-260527-0001,2026-05-27,17:02,신세계몰,리빙-문구,LP06,책갈피 세트,4,11800,47200,서울,반품완료
SG-260527-0001,2026-05-27,17:02,신세계몰,리빙-도자,LD01,산딸기 티웨어 세트,1,362600,362600,서울,반품완료
SG-260527-0010,2026-05-27,17:10,신세계몰,리빙-문구,LP02,아트 포스터 (소),1,27400,27400,경기,배송완료
DR-260527-0001,2026-05-27,17:59,오프라인-직영,리빙-문구,LP02,아트 포스터 (소),1,28000,28000,경기,배송완료
SG-260527-0005,2026-05-27,18:04,신세계몰,리빙-문구,LP07,아트 마그넷,1,7800,7800,경기,배송완료
DP-260527-0003,2026-05-27,18:05,오프라인-백화점,리빙-공예,LC03,황동 트레이,1,182000,182000,경기,교환완료
MS-260527-0006,2026-05-27,18:06,무신사,리빙-글라스,LG01,세라믹 버블글라스,2,90200,180400,서울,교환완료
MS-260527-0006,2026-05-27,18:06,무신사,리빙-텍스타일,LT03,린넨 테이블러너,3,69800,209400,서울,교환완료
MS-260527-0006,2026-05-27,18:06,무신사,리빙-도자,LD04,도자 접시 세트,1,160000,160000,서울,교환완료
MS-260527-0003,2026-05-27,18:35,무신사,리빙-텍스타일,LT04,코튼 에코백,1,36900,36900,인천,배송완료
DP-260527-0005,2026-05-27,18:55,오프라인-백화점,리빙-도자,LD04,도자 접시 세트,3,172000,516000,서울,배송완료
SG-260527-0012,2026-05-27,19:08,신세계몰,리빙-공예,LC01,유기 수저 세트,1,194000,194000,서울,배송완료
PB-260527-0007,2026-05-27,19:42,자사몰,리빙-텍스타일,LT05,린넨 앞치마,1,58000,58000,대전,배송완료
MS-260527-0001,2026-05-27,19:45,무신사,리빙-글라스,LG01,세라믹 버블글라스,2,90200,180400,경기,배송완료
PB-260527-0015,2026-05-27,20:14,자사몰,리빙-문구,LP03,아트 노트,1,13500,13500,기타,배송완료
MS-260527-0007,2026-05-27,20:15,무신사,리빙-텍스타일,LT02,패턴 머플러,2,92200,184400,대구,배송완료
PB-260527-0006,2026-05-27,20:17,자사몰,리빙-문구,LP05,아트 엽서세트,2,18000,36000,경기,배송완료
DP-260527-0007,2026-05-27,20:19,오프라인-백화점,아트에디션,AE03,김환기 〈무제〉 점화 에디션 (소),1,490000,490000,경기,배송완료
DR-260527-0006,2026-05-27,20:37,오프라인-직영,리빙-공예,LC02,유기 반상기 세트,1,520000,520000,기타,배송완료
MS-260527-0009,2026-05-27,20:41,무신사,리빙-도자,LD06,도자 컵받침 세트,1,31000,31000,서울,배송완료
MS-260527-0009,2026-05-27,20:41,무신사,리빙-텍스타일,LT04,코튼 에코백,2,36900,73800,서울,배송완료
SG-260527-0008,2026-05-27,21:30,신세계몰,리빙-공예,LC01,유기 수저 세트,3,194000,582000,울산,배송완료
PB-260527-0012,2026-05-27,21:57,자사몰,리빙-도자,LD04,도자 접시 세트,1,165000,165000,경기,배송완료
PB-260527-0012,2026-05-27,21:57,자사몰,리빙-문구,LP05,아트 엽서세트,2,18000,36000,경기,배송완료
PB-260527-0008,2026-05-27,22:10,자사몰,리빙-문구,LP02,아트 포스터 (소),2,28000,56000,서울,배송완료
PB-260528-0021,2026-05-28,02:32,자사몰,리빙-도자,LD03,도자 화병,1,145000,145000,대구,배송완료
DR-260528-0005,2026-05-28,04:43,오프라인-직영,리빙-글라스,LG03,버블 텀블러,2,68000,136000,경기,배송완료
DR-260528-0005,2026-05-28,04:43,오프라인-직영,리빙-도자,LD05,백자 다기 세트,1,280000,280000,경기,배송완료
DR-260528-0005,2026-05-28,04:43,오프라인-직영,리빙-도자,LD01,산딸기 티웨어 세트,1,370000,370000,경기,배송완료
PB-260528-0001,2026-05-28,06:02,자사몰,리빙-글라스,LG04,버블 보울,1,85000,85000,서울,배송완료
SG-260528-0002,2026-05-28,06:11,신세계몰,리빙-문구,LP04,마스킹테이프,2,8800,17600,서울,배송완료
PB-260528-0016,2026-05-28,07:26,자사몰,아트에디션,AE02,김창열 〈물방울〉 판화 에디션 (대),1,1200000,1200000,서울,배송완료
PB-260528-0013,2026-05-28,08:59,자사몰,리빙-도자,LD02,산딸기 머그,1,89000,89000,인천,반품완료
SG-260528-0006,2026-05-28,08:59,신세계몰,리빙-공예,LC02,유기 반상기 세트,1,509600,509600,경기,배송완료
DP-260528-0008,2026-05-28,09:01,오프라인-백화점,리빙-글라스,LG02,버블 와인버킷,2,230000,460000,부산,배송완료
PB-260528-0009,2026-05-28,09:02,자사몰,리빙-텍스타일,LT02,패턴 머플러,1,95000,95000,대전,배송중
MS-260528-0003,2026-05-28,09:06,무신사,리빙-텍스타일,LT04,코튼 에코백,1,36900,36900,대전,반품완료
DP-260528-0010,2026-05-28,09:36,오프라인-백화점,리빙-도자,LD05,백자 다기 세트,1,295000,295000,광주,배송완료
MS-260528-0008,2026-05-28,09:50,무신사,리빙-글라스,LG04,버블 보울,2,82400,164800,대구,배송중
MS-260528-0008,2026-05-28,09:50,무신사,리빙-문구,LP04,마스킹테이프,1,8700,8700,대구,배송중
PB-260528-0015,2026-05-28,10:02,자사몰,리빙-문구,LP04,마스킹테이프,1,9000,9000,기타,배송완료
PB-260528-0008,2026-05-28,10:19,자사몰,리빙-문구,LP07,아트 마그넷,4,8000,32000,서울,배송완료
SG-260528-0005,2026-05-28,10:30,신세계몰,리빙-문구,LP06,책갈피 세트,5,11800,59000,경기,배송완료
MS-260528-0009,2026-05-28,10:46,무신사,리빙-문구,LP06,책갈피 세트,3,11600,34800,기타,배송완료
DP-260528-0005,2026-05-28,11:10,오프라인-백화점,리빙-문구,LP07,아트 마그넷,1,8500,8500,광주,배송완료
DP-260528-0005,2026-05-28,11:10,오프라인-백화점,아트에디션,AE01,김창열 〈물방울〉 판화 에디션 (소),1,420000,420000,광주,배송완료
PB-260528-0022,2026-05-28,11:19,자사몰,리빙-텍스타일,LT04,코튼 에코백,2,38000,76000,대구,배송완료
MS-260528-0001,2026-05-28,11:37,무신사,리빙-글라스,LG03,버블 텀블러,1,66000,66000,서울,배송중
DR-260528-0007,2026-05-28,11:56,오프라인-직영,리빙-도자,LD04,도자 접시 세트,2,165000,330000,기타,배송완료
DP-260528-0007,2026-05-28,11:58,오프라인-백화점,리빙-공예,LC02,유기 반상기 세트,2,540000,1080000,기타,배송완료
PB-260528-0002,2026-05-28,12:14,자사몰,리빙-문구,LP04,마스킹테이프,1,9000,9000,경기,배송완료
PB-260528-0002,2026-05-28,12:14,자사몰,아트에디션,AE05,쿠사마 야요이 〈호박〉 실크스크린 (S),1,680000,680000,경기,배송완료
PB-260528-0002,2026-05-28,12:14,자사몰,아트에디션,AE01,김창열 〈물방울〉 판화 에디션 (소),1,380000,380000,경기,배송완료
SG-260528-0001,2026-05-28,12:17,신세계몰,리빙-문구,LP04,마스킹테이프,1,8800,8800,서울,배송중
DP-260528-0004,2026-05-28,12:18,오프라인-백화점,리빙-텍스타일,LT04,코튼 에코백,2,40000,80000,경남,교환완료
PB-260528-0004,2026-05-28,12:32,자사몰,리빙-도자,LD06,도자 컵받침 세트,1,32000,32000,부산,배송완료
PB-260528-0004,2026-05-28,12:32,자사몰,리빙-텍스타일,LT05,린넨 앞치마,1,58000,58000,부산,배송완료
PB-260528-0012,2026-05-28,12:53,자사몰,아트에디션,AE01,김창열 〈물방울〉 판화 에디션 (소),1,380000,380000,서울,배송완료
MS-260528-0010,2026-05-28,13:26,무신사,리빙-문구,LP01,한지 엽서,1,6800,6800,서울,배송완료
MS-260528-0010,2026-05-28,13:26,무신사,리빙-도자,LD01,산딸기 티웨어 세트,1,358900,358900,서울,배송완료
DR-260528-0002,2026-05-28,13:39,오프라인-직영,리빙-공예,LC02,유기 반상기 세트,1,520000,520000,경기,배송완료
DP-260528-0002,2026-05-28,13:59,오프라인-백화점,리빙-문구,LP03,아트 노트,5,16000,80000,경기,배송완료
DP-260528-0009,2026-05-28,15:17,오프라인-백화점,리빙-도자,LD04,도자 접시 세트,1,172000,172000,경기,배송완료
SG-260528-0007,2026-05-28,15:25,신세계몰,리빙-글라스,LG02,버블 와인버킷,1,215600,215600,울산,배송완료
PB-260528-0014,2026-05-28,15:34,자사몰,리빙-텍스타일,LT03,린넨 테이블러너,1,72000,72000,경기,배송중
PB-260528-0014,2026-05-28,15:34,자사몰,리빙-글라스,LG02,버블 와인버킷,1,220000,220000,경기,배송중
PB-260528-0005,2026-05-28,15:49,자사몰,리빙-문구,LP06,책갈피 세트,3,10800,32400,경남,반품완료
PB-260528-0005,2026-05-28,15:49,자사몰,리빙-글라스,LG03,버블 텀블러,2,68000,136000,경남,반품완료
PB-260528-0005,2026-05-28,15:49,자사몰,리빙-도자,LD03,도자 화병,1,145000,145000,경남,반품완료
DR-260528-0004,2026-05-28,16:05,오프라인-직영,리빙-텍스타일,LT01,Work1969 실크 스카프,1,430000,430000,울산,배송완료
MS-260528-0006,2026-05-28,16:47,무신사,리빙-글라스,LG03,버블 텀블러,3,66000,198000,서울,배송완료
MS-260528-0004,2026-05-28,16:54,무신사,리빙-문구,LP04,마스킹테이프,4,8700,34800,기타,배송완료
PB-260528-0019,2026-05-28,17:01,자사몰,리빙-문구,LP05,아트 엽서세트,2,18000,36000,대전,배송완료
PB-260528-0023,2026-05-28,17:05,자사몰,리빙-도자,LD03,도자 화병,1,145000,145000,기타,배송완료
DR-260528-0006,2026-05-28,17:24,오프라인-직영,리빙-문구,LP04,마스킹테이프,1,9000,9000,서울,배송완료
DP-260528-0003,2026-05-28,17:31,오프라인-백화점,리빙-텍스타일,LT05,린넨 앞치마,3,61000,183000,경남,배송완료
DR-260528-0008,2026-05-28,18:13,오프라인-직영,리빙-텍스타일,LT04,코튼 에코백,1,38000,38000,기타,배송완료
DR-260528-0001,2026-05-28,18:46,오프라인-직영,리빙-글라스,LG01,세라믹 버블글라스,1,93000,93000,서울,배송완료
PB-260528-0024,2026-05-28,19:07,자사몰,리빙-도자,LD04,도자 접시 세트,1,165000,165000,서울,배송완료
PB-260528-0018,2026-05-28,19:11,자사몰,리빙-글라스,LG02,버블 와인버킷,1,220000,220000,서울,배송완료
SG-260528-0003,2026-05-28,19:11,신세계몰,리빙-문구,LP01,한지 엽서,2,6900,13800,대전,배송완료
SG-260528-0003,2026-05-28,19:11,신세계몰,리빙-문구,LP05,아트 엽서세트,4,17600,70400,대전,배송완료
SG-260528-0003,2026-05-28,19:11,신세계몰,리빙-문구,LP03,아트 노트,1,14700,14700,대전,배송완료
PB-260528-0010,2026-05-28,19:19,자사몰,리빙-문구,LP06,책갈피 세트,5,10800,54000,경기,배송완료
PB-260528-0010,2026-05-28,19:19,자사몰,리빙-도자,LD03,도자 화병,1,145000,145000,경기,배송완료
DR-260528-0003,2026-05-28,19:27,오프라인-직영,리빙-도자,LD01,산딸기 티웨어 세트,1,370000,370000,인천,배송완료
DP-260528-0001,2026-05-28,19:36,오프라인-백화점,리빙-공예,LC01,유기 수저 세트,1,208000,208000,기타,배송완료
DP-260528-0006,2026-05-28,19:36,오프라인-백화점,리빙-문구,LP06,책갈피 세트,2,13000,26000,서울,배송완료
PB-260528-0007,2026-05-28,20:40,자사몰,아트에디션,AE03,김환기 〈무제〉 점화 에디션 (소),1,450000,450000,경기,배송완료
PB-260528-0020,2026-05-28,20:47,자사몰,아트에디션,AE01,김창열 〈물방울〉 판화 에디션 (소),1,380000,380000,대구,배송완료
SG-260528-0004,2026-05-28,20:47,신세계몰,리빙-글라스,LG04,버블 보울,1,83300,83300,기타,배송완료
SG-260528-0004,2026-05-28,20:47,신세계몰,리빙-공예,LC01,유기 수저 세트,1,194000,194000,기타,배송완료
PB-260528-0017,2026-05-28,21:12,자사몰,리빙-도자,LD06,도자 컵받침 세트,2,32000,64000,인천,배송완료
PB-260528-0017,2026-05-28,21:12,자사몰,리빙-글라스,LG03,버블 텀블러,1,68000,68000,인천,배송완료
PB-260528-0006,2026-05-28,21:31,자사몰,리빙-문구,LP02,아트 포스터 (소),2,28000,56000,경기,교환완료
PB-260528-0006,2026-05-28,21:31,자사몰,리빙-공예,LC01,유기 수저 세트,1,198000,198000,경기,교환완료
PB-260528-0011,2026-05-28,21:45,자사몰,리빙-공예,LC02,유기 반상기 세트,1,520000,520000,경기,배송완료
MS-260528-0007,2026-05-28,21:48,무신사,리빙-도자,LD01,산딸기 티웨어 세트,1,358900,358900,경기,배송완료
MS-260528-0007,2026-05-28,21:48,무신사,리빙-글라스,LG01,세라믹 버블글라스,1,90200,90200,경기,배송완료
MS-260528-0002,2026-05-28,22:30,무신사,리빙-문구,LP07,아트 마그넷,1,7800,7800,서울,배송완료
MS-260528-0005,2026-05-28,22:49,무신사,리빙-문구,LP04,마스킹테이프,3,8700,26100,서울,배송완료
MS-260528-0005,2026-05-28,22:49,무신사,리빙-문구,LP05,아트 엽서세트,4,17500,70000,서울,배송완료
MS-260528-0005,2026-05-28,22:49,무신사,리빙-문구,LP07,아트 마그넷,5,7800,39000,서울,배송완료
PB-260528-0003,2026-05-28,23:55,자사몰,아트에디션,AE03,김환기 〈무제〉 점화 에디션 (소),1,450000,450000,인천,배송완료
SG-260529-0007,2026-05-29,00:47,신세계몰,리빙-글라스,LG01,세라믹 버블글라스,1,91100,91100,경기,배송완료
MS-260529-0003,2026-05-29,03:19,무신사,리빙-문구,LP07,아트 마그넷,2,7800,15600,기타,배송완료
SG-260529-0005,2026-05-29,03:43,신세계몰,리빙-문구,LP05,아트 엽서세트,4,17600,70400,서울,배송완료
SG-260529-0009,2026-05-29,06:06,신세계몰,리빙-문구,LP02,아트 포스터 (소),2,27400,54800,경기,배송완료
DR-260529-0001,2026-05-29,07:41,오프라인-직영,리빙-문구,LP03,아트 노트,2,15000,30000,경기,배송완료
